unix,temp_value,flow_value,vibration_value
1551193307,73.29297,0.04833,0.04632
1551193308,73.29297,0.04925,0.09677
1551193310,73.26563,0.04902,0.00024
1551193311,73.26563,0.04902,0.0308
1551193312,73.29297,0.04902,0.01965
1551193314,73.29297,0.04925,0.01916
1551193315,73.29297,0.04856,0.02692
1551193316,73.29297,0.04856,0.01188
1551193318,73.29297,0.04902,0.07737
1551193319,73.29297,0.04925,1.19883
1551193321,73.29297,0.04925,0.03856
1551193322,73.29297,0.04925,0.01576
1551193323,73.29297,0.04948,0.08513
1551193325,73.29297,0.04925,0.00364
1551193326,73.26563,2.9964,0.52363
1551193328,73.26563,3.17766,0.55079
1551193329,73.26563,3.17812,0.56243
1551193330,73.26563,3.17789,0.57019
1551193332,73.26563,3.17835,0.83407
1551193333,73.26563,3.17789,0.84959
1551193334,73.26563,3.17835,0.91556
1551193336,73.26563,3.17812,1.01645
1551193337,73.26563,3.17812,2.37074
1551193339,73.26563,3.17858,2.39791
1551193340,73.26563,3.17881,2.42119
1551193341,73.40234,3.17881,2.3785
1551193343,73.40234,3.17835,2.43671
1551193344,73.40234,3.17812,2.43283
1551193345,73.40234,3.17881,2.49104
1551193347,73.40234,3.17881,2.40955
1551193348,73.40234,3.17835,2.56865
1551193350,73.40234,3.17835,2.40179
1551193351,73.40234,3.17881,2.4988
1551193353,73.40234,3.17858,1.19883
1551193354,73.40234,3.17881,1.0669
1551193355,73.40234,3.17858,1.07078
1551193357,73.40234,3.17881,1.07078
1551193358,73.40234,3.17835,1.09406
1551193359,73.40234,3.17858,0.966
1551193361,73.40234,3.17858,0.87287
1551193362,73.40234,3.17881,0.79138
1551193364,73.40234,3.17904,0.83795
1551193365,73.375,3.17858,0.86123
1551193366,73.375,3.17881,0.84183
1551193368,73.40234,3.17858,0.9854
1551193369,73.40234,3.17881,1.00869
1551193371,73.40234,3.17835,2.33582
1551193372,73.40234,3.17904,2.35134
1551193373,73.375,3.17904,2.39791
1551193375,73.40234,3.17858,2.45611
1551193376,73.375,3.17858,2.40179
1551193378,73.375,3.17881,2.47552
1551193379,73.40234,3.17858,2.42119
1551193380,73.40234,3.17858,2.61521
1551193382,73.40234,3.17881,2.45611
1551193383,73.375,3.17858,2.50268
1551193384,73.40234,3.17904,2.49104
1551193386,73.40234,3.17858,1.11346
1551193387,73.40234,3.17904,1.09406
1551193388,73.40234,3.17858,1.09794
1551193390,73.40234,3.17904,1.07854
1551193391,73.40234,3.17881,1.14451
1551193393,73.40234,3.17881,0.82242
1551193394,73.40234,3.17858,0.04244
1551193543,73.78516,3.17904,2.45999
1551193544,73.78516,3.17881,1.1251
1551193545,73.75781,3.17858,1.0669
1551193547,73.78516,3.17904,1.09018
1551193548,73.78516,3.17835,1.09794
1551193550,73.78516,3.17881,1.0863
1551193551,73.78516,3.17835,0.79526
1551193553,73.78516,3.17904,0.79526
1551193554,73.78516,3.17904,0.79526
1551193555,73.78516,3.17858,0.98152
1551193557,73.78516,3.17881,0.8263
1551193558,73.78516,3.17881,0.95048
1551193559,73.78516,3.17858,1.02421
1551193561,73.78516,3.17904,2.23881
1551193562,73.78516,3.17904,2.27373
1551193564,73.78516,3.17858,2.39403
1551193565,73.75781,3.17904,2.51044
1551193566,73.78516,3.17881,2.45611
1551193568,73.75781,3.17881,2.61133
1551193569,73.78516,3.17858,2.4794
1551194343,73.92188,3.17904,2.5182
1551194344,73.92188,3.17881,2.49104
1551194345,74.03125,3.17904,2.44835
1551194347,74.03125,3.17904,1.03585
1551194348,74.05859,3.17881,1.0863
1551194350,74.03125,3.17881,1.05137
1551194351,74.03125,3.17927,1.11346
1551194352,74.03125,3.1795,1.25704
1551194354,74.03125,3.17904,0.10841
1551194355,74.03125,1.62213,0.10453
1551194357,74.05859,0.03896,0.03856
1551194358,74.05859,0.04902,0.06185
1551194359,74.03125,0.04879,0.14722
1551194363,74.05859,0.04833,0.03856
1551194364,74.05859,0.04925,0.00752
1551194366,74.08594,0.04879,0.01576
1551194367,74.05859,0.04902,0.12005
1551194368,74.05859,0.04902,0.01188
1551194370,74.08594,0.04925,0.07349
1551194371,74.05859,0.04925,1.15615
1551194372,74.05859,0.04856,0.00752
1551194374,74.05859,0.04902,0.00412
1551194375,74.05859,0.04879,0.00752
1551194377,74.08594,1.22346,0.52751
1551194378,74.03125,3.17766,0.56631
1551194380,74.03125,3.17835,0.55079
1551194381,74.05859,3.17812,0.54691
1551194382,74.03125,3.17812,0.65168
1551194384,74.05859,3.17858,0.86123
1551194385,74.05859,3.17881,0.88451
1551194386,74.16797,3.17858,1.00093
1551194388,74.16797,3.17881,1.18331
1551194389,74.16797,3.17904,2.40179
1551194391,74.14063,3.17904,2.25433
1551194392,74.19531,3.17881,2.44059
1551194393,74.16797,3.17904,2.43671
1551194395,74.16797,3.17904,2.51044
1551194396,74.16797,3.17858,2.42119
1551194398,74.16797,3.17904,2.48716
1551194399,74.14063,3.17881,2.4988
1551194401,74.16797,3.17927,2.5182
1551194402,74.16797,3.17881,2.51432
1551194403,74.16797,3.17927,2.43283
1551194405,74.16797,3.17881,1.01257
